user,task_id,probability
0157bc278747755031338f18c5ba4233,1. One Box,0.5
0157bc278747755031338f18c5ba4233,2. Separated Boxes,0.5249791874789399
0157bc278747755031338f18c5ba4233,3. Rotate a Pyramid,0.5474765772630545
0157bc278747755031338f18c5ba4233,4. Match Silhouettes,0.5677696533753879
0157bc278747755031338f18c5ba4233,5. Removing Objects,0.5861149459489036
0157bc278747755031338f18c5ba4233,6. Stretch a Ramp,0.6027432396776922
0157bc278747755031338f18c5ba4233,7. Max 2 Boxes,0.6178587483405712
0157bc278747755031338f18c5ba4233,8. Combine 2 Ramps,0.6316403794454882
0760db831ec82e0c4b3349f6045d9669,1. One Box,0.7109495026250039
0760db831ec82e0c4b3349f6045d9669,2. Separated Boxes,0.7135825084128192
0760db831ec82e0c4b3349f6045d9669,3. Rotate a Pyramid,0.7164475594344356
0760db831ec82e0c4b3349f6045d9669,4. Match Silhouettes,0.7194904384702623
0b608ca6b3e7c2e5f31d7118cdc95a9b,1. One Box,0.8014712441295603
0b608ca6b3e7c2e5f31d7118cdc95a9b,2. Separated Boxes,0.7999120281725529
0b608ca6b3e7c2e5f31d7118cdc95a9b,3. Rotate a Pyramid,0.7987419167163246
0b608ca6b3e7c2e5f31d7118cdc95a9b,4. Match Silhouettes,0.7979125180879526
0b608ca6b3e7c2e5f31d7118cdc95a9b,5. Removing Objects,0.7098280070758134
0b608ca6b3e7c2e5f31d7118cdc95a9b,6. Stretch a Ramp,0.7136095636009804
0b608ca6b3e7c2e5f31d7118cdc95a9b,9. Scaling Round Objects,0.5209228353369366
12c016759e353d0bc14d1bccacba192c,1. One Box,0.848177824587574
12c016759e353d0bc14d1bccacba192c,2. Separated Boxes,0.8460329896756623
12c016759e353d0bc14d1bccacba192c,3. Rotate a Pyramid,0.8441787774121632
12c016759e353d0bc14d1bccacba192c,4. Match Silhouettes,0.8425863878251657
12c016759e353d0bc14d1bccacba192c,5. Removing Objects,0.7954067400098386
12c016759e353d0bc14d1bccacba192c,6. Stretch a Ramp,0.4112571679532558
12c016759e353d0bc14d1bccacba192c,7. Max 2 Boxes,0.7173898193081227
12c016759e353d0bc14d1bccacba192c,8. Combine 2 Ramps,0.2994795199119305
12e1e72e84bf81d1bb70ceaaff147ee1,1. One Box,0.8763179784625762
12e1e72e84bf81d1bb70ceaaff147ee1,2. Separated Boxes,0.8742624484509159
12e1e72e84bf81d1bb70ceaaff147ee1,3. Rotate a Pyramid,0.8724218508728933
12e1e72e84bf81d1bb70ceaaff147ee1,4. Match Silhouettes,0.8707769332672142
12e1e72e84bf81d1bb70ceaaff147ee1,5. Removing Objects,0.8417858015885966
12e1e72e84bf81d1bb70ceaaff147ee1,6. Stretch a Ramp,0.6401128320162707
12e1e72e84bf81d1bb70ceaaff147ee1,7. Max 2 Boxes,0.7942335618736852
12e1e72e84bf81d1bb70ceaaff147ee1,8. Combine 2 Ramps,0.19148608102980652
12e1e72e84bf81d1bb70ceaaff147ee1,9. Scaling Round Objects,0.3525343013835156
12e1e72e84bf81d1bb70ceaaff147ee1,Square Cross-Sections,0.6040187341913653
1f29e9843acc97006c607d1d50465a1d,1. One Box,0.8950633926171169
1f29e9843acc97006c607d1d50465a1d,2. Separated Boxes,0.8932179761434567
1f29e9843acc97006c607d1d50465a1d,3. Rotate a Pyramid,0.8915383243146312
1f29e9843acc97006c607d1d50465a1d,4. Match Silhouettes,0.8900101665592386
1f29e9843acc97006c607d1d50465a1d,5. Removing Objects,0.8704603402396217
1f29e9843acc97006c607d1d50465a1d,6. Stretch a Ramp,0.7540251027369071
1f29e9843acc97006c607d1d50465a1d,7. Max 2 Boxes,0.8389125680562024
1f29e9843acc97006c607d1d50465a1d,8. Combine 2 Ramps,0.45973263762847993
1f29e9843acc97006c607d1d50465a1d,9. Scaling Round Objects,0.603058199728094
2085341eede3ffb7e2ffc72bbf0ae02b,1. One Box,0.9084327204312348
2085341eede3ffb7e2ffc72bbf0ae02b,2. Separated Boxes,0.9067965433935401
2085341eede3ffb7e2ffc72bbf0ae02b,3. Rotate a Pyramid,0.9052934590731081
2085341eede3ffb7e2ffc72bbf0ae02b,4. Match Silhouettes,0.9039121339716873
2085341eede3ffb7e2ffc72bbf0ae02b,45-Degree Rotations,0.5174920585375017
2085341eede3ffb7e2ffc72bbf0ae02b,5. Removing Objects,0.8974846675739382
2085341eede3ffb7e2ffc72bbf0ae02b,6. Stretch a Ramp,0.8255202899463862
2085341eede3ffb7e2ffc72bbf0ae02b,7. Max 2 Boxes,0.8759717151483238
2085341eede3ffb7e2ffc72bbf0ae02b,8. Combine 2 Ramps,0.6748781083056279
2085341eede3ffb7e2ffc72bbf0ae02b,9. Scaling Round Objects,0.3644546185070181
2085341eede3ffb7e2ffc72bbf0ae02b,Bird Fez,0.5431580674130161
2085341eede3ffb7e2ffc72bbf0ae02b,Boxes Obscure Spheres,0.5939033949797918
2085341eede3ffb7e2ffc72bbf0ae02b,Pi Henge,0.5499438431456124
2085341eede3ffb7e2ffc72bbf0ae02b,Pyramids are Strange,0.5780482393638853
2085341eede3ffb7e2ffc72bbf0ae02b,Square Cross-Sections,0.3271019956283445
24484165b531c64c3151df9e29945731,1. One Box,0.918447090703144
24484165b531c64c3151df9e29945731,2. Separated Boxes,0.9169934922089399
24484165b531c64c3151df9e29945731,3. Rotate a Pyramid,0.9156502845721434
24484165b531c64c3151df9e29945731,4. Match Silhouettes,0.9144080471636947
2a772f5859b0bf6156f07f1412f2043a,1. One Box,0.9262299363791363
2a772f5859b0bf6156f07f1412f2043a,2. Separated Boxes,0.9249302146048921
2a772f5859b0bf6156f07f1412f2043a,3. Rotate a Pyramid,0.923724426114543
2a772f5859b0bf6156f07f1412f2043a,9. Scaling Round Objects,0.5555560552504755
2b2396af4cbf91224f099e909c6068f7,1. One Box,0.9324543627400986
2b2396af4cbf91224f099e909c6068f7,2. Separated Boxes,0.9312834456842135
2b2396af4cbf91224f099e909c6068f7,3. Rotate a Pyramid,0.930194091064453
2b2396af4cbf91224f099e909c6068f7,4. Match Silhouettes,0.9223447970902796
2b2396af4cbf91224f099e909c6068f7,5. Removing Objects,0.9019946203752115
